date,R10+RSI 70/60/50,Consensus 80/60/40 (default),Hybrid Cons + (VIX_back OR SOXL_mom5),Hybrid Cons + VIX_back,Hybrid Cons + (VIX_back AND SOXL_mom5),soxl_bnh
2021-03-26,152672.13898808355,163501.91551741306,170019.54214789614,159467.51116188997,163501.91551741306,17374.855824682814
2021-03-29,151201.34927233696,161449.14119740628,167884.93871578318,157465.3889803082,161449.14119740628,16493.656286043828
2021-03-30,149734.52458565697,159360.82133261376,165713.3727977523,155428.59833908215,159360.82133261376,16138.408304498269
2021-03-31,157275.62623574995,170124.23246704854,176905.84248371917,165926.42265990912,170124.23246704854,17808.535178777394
2021-04-01,162287.27155790542,177345.92042338208,184415.40636855352,172969.91570486774,177345.92042338208,19490.19607843137
2021-04-05,164822.68867948567,181018.763757193,188234.65912788268,176552.13175094206,181018.763757193,20779.700115340253
2021-04-06,160768.86504165697,175930.57284444507,182943.63922387207,171589.49178061067,175930.57284444507,19916.95501730104
2021-04-07,159256.83760400716,174040.21829484837,180977.93005158173,169745.78166697823,174040.21829484837,19972.318339100344
2021-04-08,162944.03691624175,178652.6487563733,185774.22441165586,174244.40055947885,178652.6487563733,20645.905420991927
2021-04-09,163159.02354337223,178922.0343590164,186054.34844982187,174507.13908129005,178922.0343590164,20479.815455594002
2021-04-12,162012.42605262581,177485.3084558451,184560.35078333464,173105.86434224178,177485.3084558451,19856.978085351788
2021-04-13,162012.42605262581,177485.3084558451,184560.35078333464,173105.86434224178,177485.3084558451,19718.56978085352
2021-04-14,156680.28586931917,170809.44277797538,177618.3671227739,166594.7254290858,170809.44277797538,18985.005767012684
2021-04-15,160398.38875568638,175464.79834936786,182459.29770318358,171135.21025578823,175464.79834936786,19976.931949250287
2021-04-16,160708.33780450176,175852.35729011995,182862.30578693276,171513.20619250063,175852.35729011995,19709.342560553632
2021-04-19,160315.0066936583,175421.9614314962,182414.7531904143,171093.43033744767,175421.9614314962,18219.14648212226
2021-04-20,161175.39672586255,176363.42854775806,183393.749721113,172011.6667837666,176363.42854775806,17409.45790080738
2021-04-21,167788.58809512586,184633.56780310057,191993.55899700453,180077.74062662176,184633.56780310057,18800.461361014994
2021-04-22,166610.1563645469,183156.74662231212,190457.8677471658,178637.35995960495,183156.74662231212,17420.991926182236
2021-04-23,168547.46447472775,185669.3876630605,193070.6694258382,181088.00166580983,185669.3876630605,18440.59976931949
2021-04-26,172518.04595997327,190668.43556179208,198268.9928352494,185963.69822304614,190668.43556179208,19474.048442906576
2021-04-27,173052.73019435274,191341.68850610877,198969.08345486206,186620.33867323806,191341.68850610877,19114.186851211074
