date,equity
2023-05-26,659909.4836051977
2023-05-30,674768.8616622454
2023-05-31,674768.8616622454
2023-06-01,680419.2195162643
2023-06-02,685372.6529523071
2023-06-05,685372.6529523071
2023-06-06,701912.8768559679
2023-06-07,689653.2545429431
2023-06-08,695010.096736987
2023-06-09,684403.9213098268
2023-06-12,716586.9018345776
2023-06-13,726914.5435264794
2023-06-14,743243.860043919
2023-06-15,731670.8053506908
2023-06-16,745776.3384274065
2023-06-20,736361.6919501082
2023-06-21,728243.2667756644
2023-06-22,737740.4968907275
2023-06-23,726296.7756948677
2023-06-26,715321.8218704131
2023-06-27,752821.0030320924
2023-06-28,741040.9720656668
2023-06-29,741040.9720656668
2023-06-30,739328.3774402086
2023-07-03,743222.8717531357
2023-07-05,734020.9267515608
2023-07-06,734020.9267515608
2023-07-07,724766.5561020551
2023-07-10,743415.532667681
2023-07-11,746413.9624042659
2023-07-12,744515.0703966802
2023-07-13,763868.562585265
2023-07-14,739371.8599730236
2023-07-17,762285.1421472476
2023-07-18,759931.2826990962
2023-07-19,761224.8819341648
2023-07-20,761224.8819341648
2023-07-21,753081.1264698262
2023-07-24,744889.843680676
2023-07-25,760019.8099411358
2023-07-26,741560.9848264351
2023-07-27,775748.8577600117
2023-07-28,775748.8577600117
2023-07-31,775748.8577600117
2023-08-01,780084.337489171
2023-08-02,775178.0499835003
2023-08-03,789136.6945052652
2023-08-04,780418.6458792319
2023-08-07,790755.2143672986
2023-08-08,790755.2143672986
2023-08-09,790755.2143672986
2023-08-10,766042.9521515019
2023-08-11,748958.5048958359
2023-08-14,761289.900498469
2023-08-15,760173.4187139515
2023-08-16,760173.4187139515
2023-08-17,760173.4187139515
2023-08-18,765243.1832553433
2023-08-21,790536.9142862576
2023-08-22,800359.2401407408
2023-08-23,834072.0035494145
2023-08-24,847807.2227647431
2023-08-25,847325.8194136716
2023-08-28,857813.4160406
2023-08-29,889317.4711417877
2023-08-30,889657.7635015291
2023-08-31,893798.8301763944
2023-09-01,899258.6551149357
2023-09-05,896952.1009887669
2023-09-06,875649.7421917998
2023-09-07,840164.6684496037
2023-09-08,826883.5251393644
2023-09-11,836529.8759028798
