date,close
2023-12-28,32.19
2023-12-29,31.4
2024-01-02,28.01
2024-01-03,26.21
2024-01-04,25.51
2024-01-05,25.94
2024-01-08,28.47
2024-01-09,28.46
2024-01-10,28.17
2024-01-11,28.46
2024-01-12,28.07
2024-01-16,29.23
2024-01-17,28.42
2024-01-18,31.19
2024-01-19,34.9
2024-01-22,35.25
2024-01-23,35.91
2024-01-24,37.49
2024-01-25,37.13
2024-01-26,34.01
2024-01-29,35.09
2024-01-30,33.51
2024-01-31,32.06
2024-02-01,32.45
2024-02-02,33.68
2024-02-05,35.11
2024-02-06,33.83
2024-02-07,35.38
2024-02-08,37.16
2024-02-09,39.35
2024-02-12,39.15
2024-02-13,36.76
2024-02-14,39.21
2024-02-15,39.05
2024-02-16,38.32
2024-02-20,36.4
2024-02-21,36.14
2024-02-22,41.46
2024-02-23,40.05
2024-02-26,41.23
2024-02-27,41.08
2024-02-28,39.77
2024-02-29,42.8
2024-03-01,48.34
2024-03-04,49.76
2024-03-05,46.84
2024-03-06,50.21
2024-03-07,55.32
2024-03-08,48.83
2024-03-11,46.71
2024-03-12,49.66
2024-03-13,45.95
2024-03-14,43.53
2024-03-15,42.67
2024-03-18,42.48
2024-03-19,41.34
2024-03-20,43.45
2024-03-21,46.29
2024-03-22,46.41
2024-03-25,45.87
2024-03-26,44.93
2024-03-27,46.53
2024-03-28,46.53
2024-04-01,48.04
2024-04-02,45.84
2024-04-03,46.2
2024-04-04,42.24
2024-04-05,43.71
2024-04-08,44.01
2024-04-09,45.42
2024-04-10,43.02
2024-04-11,45.81
2024-04-12,41.36
2024-04-15,39.75
2024-04-16,40.53
2024-04-17,36.84
2024-04-18,34.85
2024-04-19,30.69
2024-04-22,32.17
